environment_steps,agent0/mean_episode_returns,agent0/std_episode_returns,agent1/mean_episode_returns,agent1/std_episode_returns,epsilon,loss,mean_episode_length,mean_episode_returns,mean_episode_time,std_episode_length,std_episode_returns,std_episode_time,updates
100030,0.12095239,0.20684654,0.030833334,0.08337916,0.76242875,1.2818260192871094,50.0,0.15178572,0.008938864502124489,0.0,0.22767168,0.0025724083030389693,1972
200050,0.07650794,0.19079049,0.051071428,0.103343956,0.52488125,1.2757211923599243,50.0,0.12757936,0.00757638959621545,0.0,0.1981571,0.00013404454657056926,4014
300087,0.055,0.09959641,0.04916667,0.10130742,0.287293375,1.2337136268615723,50.0,0.10416667,0.007357393854181282,0.0,0.16088945,0.00020701750636081126,6069
400087,0.08369048,0.13544935,0.097321436,0.15445568,0.05,0.9718949198722839,50.0,0.1810119,0.009730681151268072,0.0,0.21090068,0.002694850133048022,8104
500107,0.03666667,0.09061518,0.022619048,0.07041947,0.05,1.3372762203216553,50.0,0.05928571,0.00907021880557295,0.0,0.1306401,0.0029501511435259106,10123
600156,0.14305556,0.22192255,0.097222224,0.17535238,0.05,1.301110863685608,49.65,0.24027777,0.010273503992357292,1.525614630239236,0.32480705,0.0030242126134876696,12154
700194,0.07722222,0.12617227,0.05075397,0.08248643,0.05,1.27741277217865,50.0,0.1279762,0.009688233354245313,0.0,0.16680247,0.0038601237946718297,14203
800200,0.09404762,0.18553488,0.11,0.2148255,0.05,0.5732155442237854,49.65,0.2040476,0.011131097690667956,1.1521718621802914,0.33815235,0.004272778443266131,16246
900247,0.06964286,0.13433272,0.10416667,0.14902152,0.05,1.3571107387542725,50.0,0.17380953,0.012897402152884752,0.0,0.19093992,0.0034656900722798457,18298
1000289,0.09154762,0.13106808,0.101865076,0.17843688,0.05,1.0368857383728027,49.5,0.1934127,0.012036560347769409,2.179449471770337,0.2554811,0.0028584704266763528,20372
1100336,0.08571429,0.16446678,0.1279762,0.2447254,0.05,0.9654878377914429,46.4,0.21369047,0.009379133293987253,10.841586599755592,0.32289076,0.0028420477883359134,22442
1200381,0.13861112,0.25164565,0.100833334,0.15424323,0.05,1.469619870185852,46.35,0.23944445,0.009302620950620621,10.58902733965684,0.3542942,0.0035171040416151333,24550
1300386,0.15601191,0.1585147,0.09708333,0.19331312,0.05,2.147634506225586,46.2,0.25309524,0.009437595901545137,11.469960767151735,0.29714447,0.0026675636788917323,26667
1400425,0.09166666,0.19339795,0.123333335,0.19475055,0.05,2.410268783569336,48.85,0.215,0.0099835125496611,3.539420856580918,0.32136428,0.0024029759378767666,28819
