environment_steps,agent0/mean_episode_returns,agent0/std_episode_returns,agent1/mean_episode_returns,agent1/std_episode_returns,epsilon,loss,mean_episode_length,mean_episode_returns,mean_episode_time,std_episode_length,std_episode_returns,std_episode_time,updates
100013,0.030833334,0.07458682,0.029166669,0.08848651,0.762469125,150.8236846923828,50.0,0.060000002,0.01610201465082355,0.0,0.107677504,0.0011733526718170806,1964
200031,0.00952381,0.041513328,0.031547617,0.081638806,0.5249263750000001,206.96974182128906,50.0,0.041071426,0.01907941230747383,0.0,0.09798674,0.000882133625613205,3968
300039,0.030555556,0.11037955,0.0629762,0.11528451,0.287407375,260.4955749511719,50.0,0.09353174,0.011077310354448856,0.0,0.1470565,0.001367650273438444,5970
400083,0.06357143,0.11430828,0.0125,0.054486234,0.05,161.7898406982422,50.0,0.076071426,0.01171846044890117,0.0,0.120190896,0.0018875036044569663,7971
500083,0.016666668,0.07264832,0.022499999,0.06796139,0.05,77.49220275878906,50.0,0.039166667,0.011147797855664976,0.0,0.095637485,0.0021610571701787995,9971
600083,0.008333334,0.03632416,0.016666668,0.07264832,0.05,66.20359802246094,50.0,0.025,0.011996673003886826,0.0,0.07949494,0.0016512343750300126,11971
700083,0.016666668,0.07264832,0.0,0.0,0.05,46.34976577758789,50.0,0.016666668,0.011939766749856062,0.0,0.07264832,0.0022744391232428374,13971
800083,0.02625,0.08995658,0.0,0.0,0.05,34.03367233276367,50.0,0.02625,0.010354604199528694,0.0,0.08995658,0.00018919154831696677,15971
900083,0.0,0.0,0.0071428576,0.031134993,0.05,25.662338256835938,50.0,0.0071428576,0.012043533456744627,0.0,0.031134993,0.0018950322915493156,17971
1000122,0.0071428576,0.031134995,0.0071428576,0.031134995,0.05,13.975373268127441,50.0,0.014285715,0.01094903334742412,0.0,0.042857148,0.0018107016343569568,19972
1100122,0.016666668,0.07264832,0.024285715,0.07410693,0.05,5.131556987762451,50.0,0.04095238,0.01237446889281273,0.0,0.09980025,0.002237632129652165,21972
1200142,0.016666668,0.07264832,0.008333334,0.03632416,0.05,5.441082000732422,50.0,0.025,0.012179166701389476,0.0,0.07949494,0.0020489462562043132,23973
1300142,0.045833338,0.110160865,0.06607143,0.17866962,0.05,4.524573802947998,50.0,0.11190476,0.012279154249699786,0.0,0.19494025,0.00427978111717256,25973
1400170,0.105,0.19678669,0.06333333,0.14098857,0.05,2.556706190109253,50.0,0.16833334,0.013562368747079745,0.0,0.24042207,0.0037954270678170906,27976
1500207,0.041666668,0.10034662,0.055535715,0.10014323,0.05,1.9720309972763062,50.0,0.097202376,0.013044077091035434,0.0,0.124378994,0.0030880525522781247,29978
1600238,0.054166667,0.10952865,0.04047619,0.08379126,0.05,1.1185364723205566,50.0,0.09464286,0.011997008448815905,0.0,0.16259809,0.002595366284911164,31981
1700240,0.032142855,0.07897623,0.029166669,0.08848651,0.05,1.5366743803024292,50.0,0.061309528,0.011457058350788429,0.0,0.11041787,0.0015448186202869684,33986
1800264,0.09166667,0.22032174,0.035,0.08381527,0.05,1.0717560052871704,50.0,0.12666668,0.012160364494775422,0.0,0.2482942,0.002062250029361556,35994
1900305,0.057619054,0.10877487,0.09250001,0.15496191,0.05,1.0461184978485107,50.0,0.15011905,0.010113337385701016,0.0,0.18216929,0.0017494739335460053,38002
2000326,0.071666665,0.14795834,0.06075397,0.09446427,0.05,0.9138913750648499,50.0,0.13242063,0.011994502195739188,0.0,0.18468107,0.0037039173730337173,40017
