environment_steps,agent0/mean_episode_returns,agent0/std_episode_returns,agent1/mean_episode_returns,agent1/std_episode_returns,epsilon,loss,mean_episode_length,mean_episode_returns,mean_episode_time,std_episode_length,std_episode_returns,std_episode_time,updates
100037,0.064166665,0.13806953,0.08083334,0.14900364,0.762412125,1.0823864936828613,50.0,0.145,0.021139254196896218,0.0,0.18679313,0.003339970557465896,1974
200061,0.04916667,0.10130743,0.09595238,0.12399505,0.524855125,1.0519049167633057,50.0,0.14511906,0.012543714712955989,0.0,0.17695697,0.0016273391208232494,4002
300107,0.06821428,0.15433325,0.07773809,0.15153836,0.28724587500000004,1.2919622659683228,50.0,0.14595239,0.012387679141829722,0.0,0.21018308,0.001821322763349557,6038
400148,0.09761904,0.19031243,0.026666667,0.08273116,0.05,1.0399231910705566,50.0,0.12428572,0.01406749164161738,0.0,0.20835662,0.003241730706092581,8057
500158,0.0425,0.1389919,0.07238095,0.1601983,0.05,1.150694727897644,50.0,0.11488096,0.01196341244794894,0.0,0.19705297,0.0022939873140660023,10070
600187,0.027083334,0.067539856,0.06041667,0.096352756,0.05,0.9512404799461365,50.0,0.087500006,0.011158341696136631,0.0,0.14547575,0.001515498937562313,12079
700210,0.108055554,0.1439894,0.123611115,0.21794407,0.05,0.4605855643749237,49.6,0.23166665,0.011491947900503873,1.7435595774162693,0.27597806,0.0016736796236297273,14102
800250,0.10083334,0.17033261,0.08541667,0.16482052,0.05,0.7761312127113342,49.6,0.18625,0.010730474992305972,1.7435595774162693,0.26886174,0.0016162731274751675,16131
900271,0.15,0.23213981,0.109920636,0.1280898,0.05,0.5202977657318115,48.65,0.25992066,0.010451885403017513,5.884513573779908,0.2822779,0.0019015412632175806,18158
1000308,0.10130952,0.19413228,0.11694445,0.19762848,0.05,0.5874664783477783,49.55,0.21825397,0.010382224852219225,1.961504524593303,0.3156022,0.0004480703838469381,20202
1100344,0.06845237,0.1334117,0.097500004,0.14599039,0.05,0.6396329402923584,47.95,0.16595238,0.010552743906737305,8.935742834258383,0.24452288,0.0024223070294613577,22255
1200379,0.15375,0.3078428,0.061666667,0.096046865,0.05,0.841311514377594,49.0,0.21541667,0.01156928950222209,4.135214625627067,0.29837844,0.0017299128077722663,24325
1300383,0.1586111,0.23422761,0.19103175,0.29378775,0.05,0.6264799237251282,45.8,0.34964284,0.009461183293024079,11.809318354587617,0.41820484,0.0027271527322579384,26409
1400393,0.17726192,0.2671684,0.14509922,0.19418022,0.05,1.0708508491516113,44.45,0.3223611,0.010883791695232504,13.215426591676865,0.34790808,0.003858589415756895,28516
1500433,0.13702382,0.21350451,0.15297619,0.23158708,0.05,0.6346397399902344,44.8,0.29,0.010500010394025594,12.416118556135006,0.3442948,0.003409510781278761,30666
1600475,0.1723611,0.20121251,0.15297619,0.2447092,0.05,0.6750950813293457,43.5,0.32533732,0.010825699995621108,13.485177047410241,0.35515454,0.003944278329776006,32882
1700518,0.29413688,0.29602206,0.23294643,0.26404002,0.05,0.755237340927124,36.5,0.5270833,0.00978651029872708,18.08728835397943,0.4562393,0.005190775183826896,35157
1800520,0.14146826,0.22325072,0.0911508,0.14274716,0.05,1.3348915576934814,46.75,0.23261905,0.013844051997875795,9.15901195544585,0.34257686,0.004911169846945844,37552
1900530,0.20540044,0.30367756,0.18111473,0.24975331,0.05,2.2289273738861084,40.75,0.38651517,0.011060085459030233,14.373152055133906,0.45891887,0.004074755986374663,40122
2000579,0.1511111,0.25516033,0.20513889,0.32698384,0.05,1.6461448669433594,38.85,0.35625,0.00899332290282473,17.522200204312245,0.45289865,0.004342477280355498,42767
2100592,0.3150397,0.26508215,0.26246032,0.23192646,0.05,2.0458250045776367,37.8,0.5775,0.008243583291186952,15.695859326586742,0.43006054,0.0038556888013472636,45422
2200625,0.19569443,0.23058984,0.2839484,0.2666417,0.05,2.092115879058838,40.05,0.47964287,0.009896879142615944,14.739318166048253,0.42759573,0.004273060050010377,48133
2300648,0.25996032,0.2938267,0.27444443,0.2589135,0.05,2.865936279296875,42.65,0.53440475,0.01203867699659895,13.293889573785394,0.38060883,0.005039011683305298,50873
2400664,0.18055555,0.20174012,0.24888888,0.30581605,0.05,1.9243130683898926,40.2,0.42944446,0.00841373745643068,16.72602762164406,0.42042783,0.0037964075546143995,53810
2500708,0.35797623,0.23761533,0.47059527,0.26390287,0.05,2.3518025875091553,29.15,0.82857144,0.007014177049859427,15.2652382883465,0.360272,0.004174740966799234,56910
2600756,0.2029365,0.21153185,0.37920636,0.35581896,0.05,1.9336718320846558,34.35,0.5821429,0.007698079198598861,17.928399259275768,0.4673116,0.003938697626882142,60031
2700760,0.3060119,0.22308694,0.46077386,0.28771755,0.05,1.8833502531051636,28.7,0.76678574,0.005840270855696872,17.355402617052707,0.35319445,0.00371826639836514,63247
2800789,0.44418654,0.26297998,0.43914685,0.26185971,0.05,2.182731866836548,22.7,0.8833334,0.004788214646396227,13.982489048806725,0.30322343,0.0028606638945356715,66476
2900829,0.44843253,0.25900733,0.40156752,0.2450613,0.05,1.8219685554504395,24.75,0.85,0.0048739854450104755,15.062785267008223,0.35707143,0.0033217629289376592,69970
3000870,0.3887897,0.25932088,0.46121034,0.27948242,0.05,1.8055298328399658,23.6,0.85,0.005323543708072975,14.312232530251874,0.35707143,0.003781492183424102,73751
3100908,0.49360117,0.29896462,0.37514883,0.2659097,0.05,1.468355417251587,24.2,0.86875,0.004888176952954381,14.641038214552955,0.3048437,0.0029947832666979294,77875
3200944,0.5413989,0.24960937,0.3936012,0.211419,0.05,1.7154086828231812,20.7,0.93500006,0.005116816851659678,12.645552577882865,0.20068634,0.003552936587299015,81846
3300978,0.5607143,0.23035727,0.41011906,0.18368879,0.05,1.7327362298965454,22.3,0.9708334,0.005156864659511484,10.936635680134911,0.08848651,0.00256949353198581,85947
3401002,0.4875,0.2707208,0.43250003,0.26246858,0.05,1.480035424232483,19.95,0.91999996,0.004750520849484019,10.547393042832907,0.24819349,0.0024984463796763542,90110
3501005,0.41141862,0.2930633,0.49858135,0.29279813,0.05,1.5259437561035156,22.1,0.91,0.005549814505502582,11.418844074598795,0.27184555,0.0025851866985477016,94289
3601012,0.41358137,0.23456074,0.48641866,0.24960461,0.05,1.3356817960739136,21.55,0.9,0.005290426945430226,10.495117912629661,0.29999998,0.0034377056776141177,98659
3701024,0.5878472,0.22934419,0.384375,0.21667199,0.05,1.1897639036178589,20.7,0.9722222,0.005614870955469087,10.363879582472965,0.12108054,0.0030134300887117867,103208
3801025,0.5088095,0.2759226,0.4911905,0.2759226,0.05,1.2057104110717773,17.55,1.0,0.005514610448153689,8.51160971849626,2.6656007e-08,0.0028609911495523672,107894
3901046,0.4608631,0.2291949,0.5058036,0.25522426,0.05,1.14735746383667,18.0,0.9666667,0.004469437644002028,9.02219485491197,0.14529663,0.0025934607922096535,112642
