environment_steps,actor_loss,agent0/mean_episode_returns,agent0/std_episode_returns,agent1/mean_episode_returns,agent1/std_episode_returns,agent2/mean_episode_returns,agent2/std_episode_returns,agent3/mean_episode_returns,agent3/std_episode_returns,entropy,loss,mean_episode_length,mean_episode_returns,mean_episode_time,std_episode_length,std_episode_returns,std_episode_time,updates,value_loss
500000,-0.08012861898168921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.429323673248291,-0.05872470512986183,500.0,0.0,2.226719537399549,0.0,0.0,0.00020410590713728876,100,0.04280782490968704
1000000,-0.0011874559568241239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5717990398406982,0.00829703954514116,500.0,0.0,2.2678268203997503,0.0,0.0,0.0003665809306707019,200,0.018968990072607994
1500000,0.014544885430950671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.428440511226654,0.022149945376440883,500.0,0.0,2.251532004699584,0.0,0.0,0.00016128159516438643,300,0.0152101197745651
2000000,-0.13335950300097466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.840452671051025,-0.12247342057526112,500.0,0.0,2.2966751931002363,0.0,0.0,0.00025143254810740533,400,0.021772165782749653
2500000,0.05520864902064204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.82814633846283,0.06370683154091239,500.0,0.0,2.203489407199959,0.0,0.0,0.000991723914008194,500,0.016996362945064902
3000000,-0.1746152089908719,0.1,0.29999998,0.0,0.0,0.0,0.0,0.0,0.0,4.702346205711365,44.69314384460449,500.0,0.1,2.4429373368002416,0.0,0.29999998,0.00027863220430902154,600,89.73551940917969
3500000,-0.0009379498660564423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8719289898872375,0.009551787981763482,500.0,0.0,2.968562234100318,0.0,0.0,0.00023467753827454622,700,0.020979474764317274
4000000,0.09568556398153305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.023923993110657,0.12419154867529869,500.0,0.0,2.401557927900467,0.0,0.0,0.0002504795753164604,800,0.05701196938753128
4500000,0.2139580100774765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.119858622550964,0.2609846815466881,500.0,0.0,2.339844753699981,0.0,0.0,0.0003234072666008985,900,0.0940533559769392
5000000,-0.4599056839942932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.558896839618683,-0.371078222990036,500.0,0.0,5.238121261199922,0.0,0.0,0.0005808237574842662,1000,0.1776549108326435
5500000,-1.6449971795082092,0.2,0.4,0.0,0.0,0.1,0.29999998,0.2,0.4,2.8043301105499268,165.525634765625,500.0,0.5,2.342659069799629,0.0,0.8062258,0.00029683347392427703,1100,334.34127044677734
6000000,-0.8160848915576935,0.2,0.4,0.1,0.29999998,0.0,0.0,0.1,0.29999998,1.1590035259723663,41.40915012359619,500.0,0.4,2.1944230938999683,0.0,0.48989797,0.0002609990677907119,1200,84.45046997070312
6500000,-1.8991437256336212,0.5,0.5,0.5,0.5,0.2,0.4,0.2,0.4,1.185822755098343,47.673604011535645,500.0,1.4,3.7873398275005457,0.0,1.1999999,0.0005928510687964326,1300,99.1454963684082
7000000,-0.5044224951416254,0.3,0.64031243,0.3,0.45825756,0.3,0.45825756,0.3,0.45825756,1.2433946132659912,12.834109783172607,500.0,1.2,5.017234513999938,0.0,1.4696939,0.0008550483153052409,1400,26.677064418792725
7500000,0.061713588424026966,0.4,0.48989797,0.4,0.66332495,0.4,0.48989797,0.1,0.29999998,1.457889884710312,7.714787006378174,500.0,1.3,8.411655079000047,0.0,1.3453624,0.0006637454045472918,1500,15.30614686012268
8000000,-0.6268118321895599,0.5,0.5,0.5,0.5,0.2,0.4,0.5,0.5,1.469101756811142,19.248985290527344,500.0,1.7,4.71607891289932,0.0,1.3453623,0.0008797581132654735,1600,39.75159454345703
8500000,-0.3690754920244217,0.5,0.67082036,0.5,0.67082036,0.4,0.48989797,0.8,0.7483315,1.3307382762432098,25.617069721221924,500.0,2.2,6.779664520999722,0.0,1.6,0.00029060364225893636,1700,51.972290992736816
9000000,0.16817029938101768,0.6,0.48989794,0.5,0.5,0.3,0.45825756,0.6,0.48989794,1.2618031799793243,22.58109998703003,500.0,2.0,1.9982796286003577,0.0,1.4142135,0.0009688899438588203,1800,44.825860023498535
9500000,-0.7245789095759392,0.4,0.489898,0.6,0.48989797,0.5,0.5,0.8,0.7483315,0.7196885496377945,49.15873432159424,500.0,2.3,2.145372381100606,0.0,1.0049876,0.0007320958386151147,1900,99.76662635803223
10000000,-0.6446543550118804,0.4,0.48989797,0.5,0.5,0.5,0.5,0.6,0.48989797,0.5298785120248795,30.991774082183838,500.0,2.0,2.4718158134000987,0.0,1.0,0.00032652060470362865,2000,63.27285575866699
10500000,0.41188138723373413,0.1,0.29999998,0.0,0.0,0.2,0.4,0.2,0.4,0.7066448479890823,23.82598876953125,500.0,0.5,2.264660869399813,0.0,0.67082036,0.0003832343903583997,2100,46.828213691711426
11000000,-0.7147939391434193,0.6,0.48989797,0.8,0.4,0.8,0.6,0.6,0.66332495,0.6518118679523468,23.205360412597656,500.0,2.8,2.387896125000407,0.0,1.2489996,0.0003733771364416965,2200,47.84030818939209
11500000,0.04578720894642174,0.9,0.53851646,1.0,0.4472136,0.7,0.64031243,0.6,0.48989794,0.9035672694444656,25.50313091278076,500.0,3.2,2.175347775800037,0.0,1.1661904,0.0009134254921867417,2300,50.914687156677246
12000000,-0.06144767999649048,0.7,0.45825756,0.6,0.48989797,1.0,0.7745967,0.9,0.29999998,0.8918636739253998,19.519922256469727,500.0,3.2,2.3545943059005365,0.0,1.3266499,0.00014809703449782368,2400,39.162739753723145
12500000,0.33840199187397957,0.9,0.83066237,0.7,0.45825756,0.9,0.53851646,0.5,0.5,0.5774382054805756,18.164782524108887,500.0,3.0,2.2387102844000766,0.0,1.183216,0.00028413075772695606,2500,35.65276050567627
13000000,-0.6667910292744637,1.0,0.7745967,0.8,0.6,0.5,0.5,1.1,0.29999998,0.7754919528961182,11.591541528701782,500.0,3.4,2.43492455089945,0.0,1.1135529,0.0003314499966061928,2600,24.51666498184204
13500000,0.3611070541664958,1.1,0.83066237,1.1,0.83066237,1.6,0.66332495,1.3,0.781025,0.7656057178974152,16.820682525634766,500.0,5.1,2.3365563212006237,0.0,2.3853722,0.00035247605828512483,2700,32.919151306152344
14000000,-0.8734585866332054,2.2,1.1661904,1.8,0.87177974,2.0,0.8944272,2.0,1.0,0.7499531656503677,22.39948844909668,500.0,8.0,2.2678803247996258,0.0,2.408319,0.00028795246177981345,2800,46.54589366912842
14500000,-0.39904798567295074,1.4,0.48989797,1.9,1.1357816,1.3,0.45825756,1.5,0.5,0.7900906205177307,9.528009414672852,500.0,6.1,2.11894609989904,0.0,2.0223749,0.0003728176399040296,2900,19.85411500930786
15000000,-0.43299711123108864,1.9,1.1357816,2.1,0.9433981,1.5,1.2041595,1.6,0.9165151,0.6440230458974838,15.037813901901245,500.0,7.1,2.2828619392985274,0.0,3.1764762,0.00017954557847649254,3000,30.941621780395508
15500000,-0.9026955142617226,2.4,1.5620499,2.4,1.2806249,2.6,1.3564659,2.1,1.1357816,0.5573797971010208,19.150702476501465,500.0,9.5,2.2730747311001323,0.0,3.9306488,8.922819222888839e-05,3100,40.10679626464844
16000000,-0.3476036456413567,1.3,1.0999999,1.7,1.0049876,1.5,0.67082036,1.7,1.2688577,0.5574895888566971,8.793781757354736,500.0,6.2,8.801857095300146,0.0,3.4583232,0.0014485939324288706,3200,18.28277063369751
16500000,-0.32645735144615173,3.0,1.3416407,2.3,0.781025,2.8,1.4,2.5,1.024695,0.574369415640831,22.24080801010132,500.0,10.6,2.4432083963994957,0.0,3.0397367,0.0003200989089456295,3300,45.13453006744385
