environment_steps,actor_loss,agent0/mean_episode_returns,agent0/std_episode_returns,agent1/mean_episode_returns,agent1/std_episode_returns,agent2/mean_episode_returns,agent2/std_episode_returns,agent3/mean_episode_returns,agent3/std_episode_returns,entropy,loss,mean_episode_length,mean_episode_returns,mean_episode_time,std_episode_length,std_episode_returns,std_episode_time,updates,value_loss
500000,-0.03728789836168289,0.0,0.0,0.1,0.29999998,0.1,0.29999998,0.4,0.48989797,4.53591775894165,17.518095016479492,500.0,0.6,2.3113903240002402,0.0,0.66332495,0.00045780560504640093,100,35.11076736450195
1000000,-0.1503528505563736,0.0,0.0,0.1,0.29999998,0.1,0.29999998,0.2,0.4,3.7002570629119873,13.206663131713867,500.0,0.4,2.354610533801315,0.0,0.91651505,0.00023543138406710115,200,26.714031219482422
1500000,0.06284569948911667,0.1,0.29999998,0.0,0.0,0.0,0.0,0.1,0.29999998,4.498642444610596,6.429927349090576,500.0,0.2,2.2513094098016153,0.0,0.4,0.00020641495704879138,300,12.734163284301758
2000000,0.3754488527774811,0.1,0.29999998,0.1,0.29999998,0.0,0.0,0.0,0.0,4.070427894592285,8.00619888305664,500.0,0.2,2.418368044300587,0.0,0.4,0.00029541194580285957,400,15.261500358581543
2500000,-0.006998469587415457,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.29999998,4.125647068023682,4.186001777648926,500.0,0.1,2.251530689801439,0.0,0.29999998,0.0003039883715233262,500,8.386000633239746
3000000,0.11742949485778809,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.29999998,4.059082984924316,4.767511367797852,500.0,0.1,2.759948985099618,0.0,0.29999998,0.0006924395133588181,600,9.300163269042969
3500000,0.014005943201482296,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.29999998,3.828339099884033,5.286354064941406,500.0,0.1,2.0012750378999042,0.0,0.29999998,0.0002880340080038378,700,10.544695854187012
4000000,-0.4516174793243408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.564263343811035,-0.366023987531662,500.0,0.0,2.187011652000365,0.0,0.0,0.0003964271063838083,800,0.17118696868419647
4500000,1.1171587705612183,0.0,0.0,0.1,0.29999998,0.2,0.4,0.2,0.4,3.6582460403442383,32.991844177246094,500.0,0.5,2.3990812971991544,0.0,0.67082036,0.0003444796301846284,900,63.74937057495117
5000000,1.1171472072601318,0.0,0.0,0.1,0.29999998,0.0,0.0,0.1,0.29999998,3.061720609664917,13.823497772216797,500.0,0.2,2.475553198400303,0.0,0.4,0.0003967775005844773,1000,25.412700653076172
5500000,-0.9245300889015198,0.1,0.29999998,0.0,0.0,0.0,0.0,0.0,0.0,3.139249086380005,5.535971164703369,500.0,0.1,2.417549759698886,0.0,0.29999998,0.0010950649847811084,1100,12.921002388000488
6000000,-0.09459284693002701,0.2,0.4,0.0,0.0,0.2,0.4,0.1,0.29999998,3.362332820892334,29.250797271728516,500.0,0.5,2.247346283299703,0.0,0.8062258,0.00031577392355153986,1200,58.69078063964844
6500000,0.18922458589076996,0.1,0.29999998,0.2,0.4,0.0,0.0,0.2,0.4,3.335099220275879,28.119279861450195,500.0,0.5,2.182185776901315,0.0,0.5,0.00035753282559375843,1300,55.860111236572266
7000000,-0.006026071030646563,0.1,0.29999998,0.3,0.45825756,0.4,0.48989797,0.1,0.29999998,2.2620227336883545,45.986759185791016,500.0,0.9,2.3287286799997675,0.0,0.53851646,0.0004445357228740861,1400,91.9855728149414
7500000,0.036057405173778534,0.1,0.29999998,0.1,0.29999998,0.3,0.45825756,0.0,0.0,1.7700861692428589,22.244455337524414,500.0,0.5,3.8807820212998196,0.0,0.67082036,0.0007852939051550327,1500,44.41679763793945
8000000,0.2663784325122833,0.3,0.45825756,0.2,0.4,0.2,0.4,0.2,0.4,2.1045732498168945,33.841957092285156,500.0,0.9,7.172692751799332,0.0,1.0440307,0.0004329612028380123,1600,67.15115356445312
8500000,-0.7166447043418884,0.1,0.29999998,0.3,0.45825756,0.3,0.45825756,0.2,0.4,1.7302086353302002,26.77910614013672,500.0,0.9,1.962007054699643,0.0,0.9433981,0.0003310343569684072,1700,54.99150085449219
9000000,-0.1035347431898117,0.4,0.489898,0.2,0.4,0.2,0.4,0.3,0.45825756,1.2535488605499268,31.086015701293945,500.0,1.1,2.324289877600677,0.0,1.0440307,0.00023676313394795003,1800,62.37910079956055
9500000,-0.4158557057380676,0.1,0.29999998,0.1,0.29999998,0.5,0.67082036,0.2,0.4,1.5545943975448608,21.285398483276367,500.0,0.9,1.8916879455995512,0.0,0.9433981,0.0004367174874229467,1900,43.40250778198242
10000000,0.11806057393550873,0.3,0.45825756,0.3,0.45825756,0.7,0.45825756,0.2,0.4,1.537791132926941,32.14482498168945,500.0,1.5,2.142678520400659,0.0,1.118034,0.00013867586725867058,2000,64.05352783203125
10500000,-0.2875669300556183,0.1,0.29999998,0.3,0.45825756,0.1,0.29999998,0.3,0.45825756,1.2906523942947388,15.266545295715332,500.0,0.8,3.2094543322004028,0.0,0.7483315,0.0010597483004957473,2100,31.108224868774414
11000000,-0.05975725129246712,0.2,0.4,0.5,0.5,0.6,0.48989794,0.6,0.48989797,1.4117425680160522,32.6163215637207,500.0,1.9,2.020117111098807,0.0,0.9433981,0.0002716408819273783,2200,65.35215759277344
11500000,-0.50669926404953,0.3,0.45825756,0.3,0.45825756,0.4,0.48989797,0.4,0.48989797,1.5169713497161865,22.681245803833008,500.0,1.4,3.689872861400363,0.0,0.48989797,0.00023745533859614797,2300,46.37588882446289
12000000,-0.24541300535202026,0.6,0.48989797,0.4,0.48989797,0.4,0.489898,0.3,0.45825756,1.3072389364242554,25.457462310791016,500.0,1.7,1.932598356100789,0.0,0.9,0.0002209087266516124,2400,51.4057502746582
12500000,0.3431233763694763,0.4,0.489898,0.4,0.489898,0.5,0.5,0.4,0.48989797,1.8616607189178467,23.99972152709961,500.0,1.7,2.2867394630986384,0.0,0.90000004,0.0005192050743737643,2500,47.31319808959961
13000000,0.03634458780288696,0.6,0.48989794,0.7,0.45825756,0.5,0.67082036,0.6,0.48989797,1.8841099739074707,30.45968246459961,500.0,2.4,2.289033629799087,0.0,1.3564659,0.00015126176224307348,2600,60.846675872802734
13500000,0.4736585021018982,0.4,0.48989797,0.6,0.66332495,0.6,0.48989797,0.5,0.5,1.907731056213379,25.85152244567871,500.0,2.1,1.9716783539006428,0.0,0.9433981,0.0002889331039677866,2700,50.75572967529297
14000000,-1.1033743619918823,0.1,0.29999998,0.5,0.5,0.8,0.6,0.4,0.48989797,1.833021879196167,21.049348831176758,500.0,1.8,2.134454446299787,0.0,1.1661904,0.000746420666708918,2800,44.30544662475586
14500000,-0.017541680485010147,0.4,0.48989797,0.8,0.4,0.6,0.48989797,0.6,0.8,1.4443234205245972,24.018840789794922,500.0,2.4,2.802813511100976,0.0,1.0198039,0.0014058536782688394,2900,48.0727653503418
15000000,0.03563380613923073,0.8,0.6,0.6,0.8,0.4,0.48989797,0.6,0.48989794,1.7842038869857788,25.571054458618164,500.0,2.4,2.1217113254992,0.0,1.6248076,0.00019408998046388675,3000,51.07084274291992
15500000,0.03354431316256523,0.4,0.48989797,0.2,0.4,0.6,0.48989797,0.6,0.66332495,1.4604383707046509,16.40687370300293,500.0,1.8,2.2784970145010446,0.0,1.1661904,0.0006559922179090827,3100,32.74665832519531
16000000,-0.44815391302108765,0.4,0.48989797,0.5,0.5,0.5,0.5,0.3,0.45825756,1.294381856918335,14.805434226989746,500.0,1.7,1.9672782580986676,0.0,0.9,0.00045542106073523223,3200,30.50717544555664
