environment_steps,agent0/mean_episode_returns,agent0/std_episode_returns,agent1/mean_episode_returns,agent1/std_episode_returns,agent2/mean_episode_returns,agent2/std_episode_returns,agent3/mean_episode_returns,agent3/std_episode_returns,agent4/mean_episode_returns,agent4/std_episode_returns,epsilon,loss,mean_action_mask,mean_battle_won,mean_episode_length,mean_episode_returns,mean_episode_time,std_action_mask,std_battle_won,std_episode_length,std_episode_returns,std_episode_time,updates
50048,10.330786,1.8222376,10.330786,1.8222376,10.330786,1.8222376,10.330786,1.8222376,10.330786,1.8222376,0.762272,3.237724542617798,5.04,0.01,36.55,51.65392,0.11616702546714805,0.397995,0.09949874371066199,5.575616557834659,9.111186,0.012127264885792903,1172
100067,9.938946,1.360252,9.938946,1.360252,9.938946,1.360252,9.938946,1.360252,9.938946,1.360252,0.5246817500000001,4.987157344818115,5.51,0.0,74.95,49.694733,0.2211507062014425,1.322838,0.0,36.922452518758824,6.801261,0.09188910897374386,2428
150135,10.194852,1.4559005,10.194852,1.4559005,10.194852,1.4559005,10.194852,1.4559005,10.194852,1.4559005,0.28685875,6.805981636047363,5.08,0.0,62.47,50.974262,0.18585745873046108,0.56,0.0,28.129505861283803,7.2795024,0.06907765376151366,3544
200151,13.685,2.0208652,13.685,2.0208652,13.685,2.0208652,13.685,2.0208652,13.685,2.0208652,0.05,5.520101070404053,6.33,0.0,110.48,68.425,0.30412642789829986,2.2452393,0.0,38.814038697357944,10.104327,0.09671045519054222,4292
250253,12.12,1.1572051,12.12,1.1572051,12.12,1.1572051,12.12,1.1572051,12.12,1.1572051,0.05,5.117280006408691,6.48,0.0,119.91,60.59999,0.33450547588057816,2.1516504,0.0,35.46719470158304,5.786026,0.08952658591957198,4850
300361,10.741666,1.6814921,10.741666,1.6814921,10.741666,1.6814921,10.741666,1.6814921,10.741666,1.6814921,0.05,4.017119884490967,5.68,0.0,83.98,53.70834,0.2429696704412345,1.8159297,0.0,37.362275091327085,8.40746,0.09361095837759204,5341
350433,11.2507105,1.5071504,11.2507105,1.5071504,11.2507105,1.5071504,11.2507105,1.5071504,11.2507105,1.5071504,0.05,3.945709466934204,6.92,0.0,120.39,56.25356,0.32507790460891556,2.4194217,0.0,32.77617884989036,7.5357513,0.08159105089346791,5859
400469,11.629095,1.6009352,11.629095,1.6009352,11.629095,1.6009352,11.629095,1.6009352,11.629095,1.6009352,0.05,3.5816195011138916,5.35,0.01,80.96,58.14546,0.2361871625087224,1.3369743,0.09949874371066199,31.268488930551154,8.004677,0.0801037974086527,6392
450500,11.316839,2.6327233,11.316839,2.6327233,11.316839,2.6327233,11.316839,2.6327233,11.316839,2.6327233,0.05,3.325239658355713,6.27,0.01,101.77,56.584194,0.2892538324504858,2.3488507,0.09949874371066199,39.48591014526574,13.163617,0.09613987184766681,6903
500527,17.83777,3.0914235,17.83777,3.0914235,17.83777,3.0914235,17.83777,3.0914235,17.83777,3.0914235,0.05,3.2124109268188477,13.72,0.64,49.21,89.18885,0.1392147883377038,7.3404093,0.48,20.714871469550566,15.457118,0.050113407102386445,7470
550577,13.569364,2.8377516,13.569364,2.8377516,13.569364,2.8377516,13.569364,2.8377516,13.569364,2.8377516,0.05,3.032106637954712,6.12,0.11,79.69,67.84681,0.2291169708088273,3.037367,0.31288975694324034,23.360092037489924,14.188758,0.05307628825179164,8073
600657,14.914341,2.637682,14.914341,2.637682,14.914341,2.637682,14.914341,2.637682,14.914341,2.637682,0.05,2.972813129425049,6.01,0.15,76.05,74.5717,0.21863726831157693,2.7477078,0.3570714214271425,13.698448817293148,13.188409,0.033750082044534724,8679
650755,14.629952,3.0999284,14.629952,3.0999284,14.629952,3.0999284,14.629952,3.0999284,14.629952,3.0999284,0.05,4.4350104331970215,7.14,0.17,91.57,73.14976,0.2725962362525752,3.728324,0.37563279941985894,33.238006859617805,15.499642,0.0912752489999366,9264
700780,19.054657,3.791023,19.054657,3.791023,19.054657,3.791023,19.054657,3.791023,19.054657,3.791023,0.05,3.504399538040161,12.46,0.79,85.27,95.2733,0.23797657333838287,4.016018,0.4073082370883261,26.320279253837715,18.955114,0.07168750578091616,9843
750784,19.314264,2.7410896,19.314264,2.7410896,19.314264,2.7410896,19.314264,2.7410896,19.314264,2.7410896,0.05,2.9840328693389893,12.96,0.77,83.09,96.571335,0.24412876795162447,5.057509,0.4208325082500164,22.19733993072143,13.705448,0.05871879955222884,10397
800804,19.046253,2.372639,19.046253,2.372639,19.046253,2.372639,19.046253,2.372639,19.046253,2.372639,0.05,2.5748660564422607,11.18,0.8,73.14,95.23126,0.2098746966465842,3.305692,0.4,23.0121793839697,11.863195,0.056771690326899105,11038
850827,19.915909,1.2270573,19.915909,1.2270573,19.915909,1.2270573,19.915909,1.2270573,19.915909,1.2270573,0.05,2.475320339202881,14.41,0.93,65.03,99.57955,0.20186537416127975,3.9499242,0.2551470164434615,19.34293411041872,6.1352873,0.0534955537379297,11744
900959,19.639315,2.0645475,19.639315,2.0645475,19.639315,2.0645475,19.639315,2.0645475,19.639315,2.0645475,0.05,2.4806549549102783,14.74,0.88,67.49,98.19658,0.20338218790944665,4.4240704,0.3249615361854384,18.57121159213905,10.322738,0.04798517074128095,12430
951062,19.972404,2.1760464,19.972404,2.1760464,19.972404,2.1760464,19.972404,2.1760464,19.972404,2.1760464,0.05,2.502803325653076,12.69,0.86,92.68,99.862015,0.2736096873803763,3.8773575,0.34698703145794946,27.285483319890083,10.880231,0.07451782409317458,13083
1001127,19.172085,2.7317834,19.172085,2.7317834,19.172085,2.7317834,19.172085,2.7317834,19.172085,2.7317834,0.05,2.2037353515625,10.83,0.78,87.41,95.86042,0.25531086792354474,3.6798232,0.41424630354415964,23.092031092998294,13.658918,0.06007635266799146,13706
1051161,16.591597,3.313246,16.591597,3.313246,16.591597,3.313246,16.591597,3.313246,16.591597,3.313246,0.05,2.9158167839050293,8.04,0.41,78.71,82.95797,0.2252759745606454,3.9291728,0.4918333050943175,28.273059615117706,16.56623,0.059871397574790465,14356
1101186,19.784266,1.3013692,19.784266,1.3013692,19.784266,1.3013692,19.784266,1.3013692,19.784266,1.3013692,0.05,1.870650053024292,12.6,0.93,70.53,98.92134,0.21200960622751153,2.9291637,0.25514701644346144,9.864537495493643,6.506846,0.031099902652972765,15031
1151237,19.856815,1.4390501,19.856815,1.4390501,19.856815,1.4390501,19.856815,1.4390501,19.856815,1.4390501,0.05,2.5415284633636475,12.65,0.93,67.61,99.28407,0.2072331454383675,2.8368115,0.2551470164434615,16.20363848029201,7.1952505,0.043087179518080616,15714
1201292,19.605196,2.072585,19.605196,2.072585,19.605196,2.072585,19.605196,2.072585,19.605196,2.072585,0.05,1.647149920463562,12.6,0.91,71.73,98.025986,0.2180772329523461,2.6115127,0.2861817604250837,19.51299823194785,10.362925,0.0514845663500534,16420
1251317,19.391987,2.2255793,19.391987,2.2255793,19.391987,2.2255793,19.391987,2.2255793,19.391987,2.2255793,0.05,1.9796334505081177,11.66,0.86,69.44,96.95994,0.20624955002276693,3.259509,0.34698703145794946,19.094669413215822,11.127896,0.049176016225395754,17105
1301340,20.194313,1.1519728,20.194313,1.1519728,20.194313,1.1519728,20.194313,1.1519728,20.194313,1.1519728,0.05,1.8709362745285034,13.33,0.96,75.07,100.97157,0.2228449341817759,2.9019132,0.19595917942265426,14.601544438859884,5.7598643,0.03498058113780929,17799
1351362,18.484095,2.833799,18.484095,2.833799,18.484095,2.833799,18.484095,2.833799,18.484095,2.833799,0.05,1.824989676475525,10.33,0.66,73.33,92.42048,0.21548985297209583,4.3198495,0.4737087712930805,13.652146351398375,14.168994,0.034847210825704356,18499
1401366,20.009657,1.025561,20.009657,1.025561,20.009657,1.025561,20.009657,1.025561,20.009657,1.025561,0.05,2.1345317363739014,16.32,0.97,61.63,100.04828,0.20285779451776761,3.2981207,0.1705872210923198,8.032004731074304,5.1278043,0.02926668051240243,19228
1451389,19.558578,2.5292222,19.558578,2.5292222,19.558578,2.5292222,19.558578,2.5292222,19.558578,2.5292222,0.05,1.5121787786483765,14.08,0.86,74.11,97.79291,0.23069605837750715,4.1968555,0.3469870314579494,20.20935179564154,12.6461115,0.05242342801518729,19901
