environment_steps,agent0/mean_episode_returns,agent0/std_episode_returns,agent1/mean_episode_returns,agent1/std_episode_returns,agent2/mean_episode_returns,agent2/std_episode_returns,agent3/mean_episode_returns,agent3/std_episode_returns,agent4/mean_episode_returns,agent4/std_episode_returns,epsilon,loss,mean_action_mask,mean_battle_won,mean_episode_length,mean_episode_returns,mean_episode_time,std_action_mask,std_battle_won,std_episode_length,std_episode_returns,std_episode_time,updates
50027,10.768042,1.168108,10.768042,1.168108,10.768042,1.168108,10.768042,1.168108,10.768042,1.168108,0.76237175,2.4719409942626953,5.0,0.0,39.48,53.840206,0.10297365168109536,0.0,0.0,4.650763378199326,5.8405395,0.010125088082596078,1170
100028,12.428409,1.4932272,12.428409,1.4932272,12.428409,1.4932272,12.428409,1.4932272,12.428409,1.4932272,0.524867,4.444986343383789,5.14,0.0,48.1,62.142033,0.16182479210954626,0.84876376,0.0,29.013272824691803,7.466136,0.08377790752142944,2487
150119,12.1138735,2.222026,12.1138735,2.222026,12.1138735,2.222026,12.1138735,2.222026,12.1138735,2.222026,0.28693474999999996,3.8017282485961914,6.2,0.02,89.42,60.56936,0.24684505414450542,2.6720781,0.13999999999999999,47.55379690413795,11.11013,0.11150898767350394,3533
200127,11.57451,1.7853004,11.57451,1.7853004,11.57451,1.7853004,11.57451,1.7853004,11.57451,1.7853004,0.05,3.5894153118133545,5.26,0.01,50.46,57.872547,0.15574429750966373,1.2134249,0.09949874371066199,26.96976826003516,8.926501,0.06891838134069057,4369
250276,11.66125,2.2313786,11.66125,2.2313786,11.66125,2.2313786,11.66125,2.2313786,11.66125,2.2313786,0.05,3.2261838912963867,6.05,0.04,81.23,58.306244,0.22003341622126754,2.9098969,0.19595917942265423,41.703921877924145,11.156892,0.09750647929252954,5154
300283,15.290881,3.4881287,15.290881,3.4881287,15.290881,3.4881287,15.290881,3.4881287,15.290881,3.4881287,0.05,3.7607791423797607,6.84,0.31,58.1,76.45441,0.1728013467101846,2.8695645,0.462493243193887,20.940630363004836,17.440643,0.05153101240003716,5929
350284,17.37022,3.0749738,17.37022,3.0749738,17.37022,3.0749738,17.37022,3.0749738,17.37022,3.0749738,0.05,3.0626566410064697,9.44,0.54,54.13,86.8511,0.16114048874762374,4.5217695,0.49839743177508444,15.31643235221571,15.37487,0.03807351119316232,6607
400335,13.204828,2.661796,13.204828,2.661796,13.204828,2.661796,13.204828,2.661796,13.204828,2.661796,0.05,4.650691509246826,6.1,0.07,79.32,66.02414,0.22797679547336883,3.4655442,0.2551470164434615,31.919862155090833,13.30898,0.07492664602458103,7219
450354,15.354312,2.8170357,15.354312,2.8170357,15.354312,2.8170357,15.354312,2.8170357,15.354312,2.8170357,0.05,3.862243175506592,6.7,0.23,54.48,76.77156,0.15959553669206797,3.5846896,0.4208325082500163,19.528174517860087,14.085179,0.050593404367744906,7895
500381,15.694067,3.5191772,15.694067,3.5191772,15.694067,3.5191772,15.694067,3.5191772,15.694067,3.5191772,0.05,5.23183536529541,7.6,0.3,91.75,78.470345,0.2670913179049967,4.1880784,0.45825756949558394,22.966225201369074,17.595886,0.05796789250221109,8534
