environment_steps,agent0/mean_episode_returns,agent0/std_episode_returns,agent1/mean_episode_returns,agent1/std_episode_returns,epsilon,loss,mean_action_mask,mean_battle_won,mean_episode_length,mean_episode_returns,mean_episode_time,std_action_mask,std_battle_won,std_episode_length,std_episode_returns,std_episode_time,updates
100011,9.832158,0.41672385,9.832158,0.41672385,0.762473875,5.039877891540527,2.0,0.0,32.03,19.664316,0.059724790842738004,0.0,0.0,0.17058722109231983,0.8334477,0.003550991203084795,2342
200040,7.4666686,1.5885792,7.4666686,1.5885792,0.524905,6.04561710357666,4.11,0.0,107.59,14.933337,0.20987749588151927,1.6846069,0.0,56.54751895529989,3.1771584,0.1116567726027111,4882
300183,6.72,2.304198,6.72,2.304198,0.287065375,5.055535793304443,7.14,0.0,114.95,13.44,0.2416144849814009,3.5889273,0.0,53.54052203705153,4.608396,0.1172316353688123,6283
400223,0.4329412,1.1422194,0.4329412,1.1422194,0.05,25.05655860900879,9.85,0.0,150.0,0.8658824,0.3260660354263382,0.79214895,0.0,0.0,2.2844388,0.009580140270545705,7043
500273,0.10666668,0.4260665,0.10666668,0.4260665,0.05,28.66473960876465,9.81,0.0,150.0,0.21333335,0.3324337041436229,0.44034082,0.0,0.0,0.852133,0.0216557760480662,7710
600323,0.4203922,0.6463355,0.4203922,0.6463355,0.05,19.22345542907715,10.34,0.0,150.0,0.8407844,0.3279715475125704,1.1333137,0.0,0.0,1.292671,0.006888216220149986,8377
700373,0.03764706,0.14901137,0.03764706,0.14901137,0.05,13.00613784790039,8.96,0.0,150.0,0.07529412,0.3336652182682883,0.34409302,0.0,0.0,0.29802275,0.006503434112653992,9044
800423,0.08156863,0.2110139,0.08156863,0.2110139,0.05,13.381680488586426,8.71,0.0,150.0,0.16313726,0.3316561725025531,0.6048966,0.0,0.0,0.4220278,0.008075980660337604,9711
900473,1.8572551,0.47719285,1.8572551,0.47719285,0.05,10.709905624389648,8.51,0.0,150.0,3.7145102,0.3215536687721033,0.72794235,0.0,0.0,0.9543857,0.006986128715867553,10378
1000523,2.164706,0.8756258,2.164706,0.8756258,0.05,10.846807479858398,9.63,0.0,150.0,4.329412,0.3215570041415049,1.1104504,0.0,0.0,1.7512516,0.009767287774134251,11045
1100573,1.7694119,0.3804237,1.7694119,0.3804237,0.05,9.796174049377441,8.56,0.0,150.0,3.5388238,0.321539264137391,0.85229105,0.0,0.0,0.7608474,0.009640500758592139,11712
1200623,2.0956864,0.5485802,2.0956864,0.5485802,0.05,7.337220191955566,8.63,0.0,150.0,4.191373,0.31979328662273476,0.86781335,0.0,0.0,1.0971605,0.008748491778371243,12379
1300673,3.325491,0.6844682,3.325491,0.6844682,0.05,5.313441753387451,8.43,0.0,150.0,6.650982,0.3262896629422903,0.992522,0.0,0.0,1.3689364,0.006915097857606581,13046
1400798,3.752157,0.5172572,3.752157,0.5172572,0.05,4.8418498039245605,8.49,0.0,150.0,7.504314,0.3214656287489925,0.9326843,0.0,0.0,1.0345144,0.0077866313078014246,13715
1500947,6.619607,1.9769686,6.619607,1.9769686,0.05,6.097492694854736,7.06,0.0,143.34,13.239214,0.306188676689053,2.6184728,0.0,23.82109149472375,3.9539373,0.05625839816796739,14398
1601056,9.354496,1.941652,9.354496,1.941652,0.05,3.6171011924743652,2.54,0.02,58.8,18.708992,0.11533059756620787,1.395851,0.13999999999999999,43.11264315719926,3.883304,0.0918598518402683,15317
1701108,8.006275,1.5192091,8.006275,1.5192091,0.05,5.761263847351074,2.69,0.0,92.26,16.01255,0.1854882537398953,1.7532539,0.0,41.36728659218537,3.0384183,0.08488154324026274,16405
