environment_steps,agent0/mean_episode_returns,agent0/std_episode_returns,agent1/mean_episode_returns,agent1/std_episode_returns,epsilon,loss,mean_action_mask,mean_battle_won,mean_episode_length,mean_episode_returns,mean_episode_time,std_action_mask,std_battle_won,std_episode_length,std_episode_returns,std_episode_time,updates
100029,9.687843,0.48860663,9.687843,0.48860663,0.7624311250000001,11.733039855957031,2.0,0.0,32.89,19.375687,0.060781351261539385,0.0,0.0,8.057164513648706,0.97721326,0.017301763638111076,2359
200050,9.6941185,0.4890496,9.6941185,0.4890496,0.52488125,6.4117512702941895,2.03,0.0,33.22,19.388237,0.05870161669270601,0.29849628,0.0,11.738466680107756,0.9780992,0.023311634578353516,5126
300197,0.0,0.0,0.0,0.0,0.28703212499999997,6.292552947998047,9.1,0.0,150.0,0.0,0.31100860168167854,0.51961523,0.0,0.0,0.0,0.009065902790832109,6743
400346,0.0,0.0,0.0,0.0,0.05,49.47605514526367,9.54,0.0,150.0,0.0,0.2884027691476513,0.6390618,0.0,0.0,0.0,0.006075466459527709,7419
500396,0.037647057,0.3177158,0.037647057,0.3177158,0.05,31.700551986694336,8.73,0.0,150.0,0.075294115,0.27537938954017593,0.7190966,0.0,0.0,0.6354316,0.0055444437389578355,8086
600446,0.0,0.0,0.0,0.0,0.05,44.60092544555664,9.02,0.0,150.0,0.0,0.2756427958601853,0.5473573,0.0,0.0,0.0,0.006096049538508028,8753
700496,0.01254902,0.087843135,0.01254902,0.087843135,0.05,36.71776580810547,8.65,0.0,150.0,0.02509804,0.24346713414008264,0.6062178,0.0,0.0,0.17568627,0.003808844489384194,9420
800636,0.3262745,1.6008734,0.3262745,1.6008734,0.05,34.186500549316406,8.37,0.0,149.86,0.652549,0.21777556789165828,1.5469646,0.0,0.8126499861564019,3.2017467,0.004455295771658498,10088
900695,2.4972548,2.9828415,2.4972548,2.9828415,0.05,18.208829879760742,8.68,0.0,149.8,4.9945097,0.2085255395900458,3.187099,0.0,0.7211102550927978,5.965683,0.0039086600341785805,10760
1000734,6.6949024,2.3054962,6.6949024,2.3054962,0.05,10.530903816223145,5.62,0.0,145.59,13.389805,0.2036088816204574,4.029342,0.0,6.2499519998156785,4.6109924,0.010654897939342321,11441
1100775,8.326275,1.3276336,8.326275,1.3276336,0.05,10.49392318725586,2.58,0.0,142.81,16.65255,0.19495643669040874,1.5822767,0.0,4.840857362079572,2.6552672,0.007980651580812828,12148
1200840,8.288628,1.2336876,8.288628,1.2336876,0.05,6.322808742523193,2.0,0.0,134.32,16.577255,0.18444759575359057,0.0,0.0,4.694422222169624,2.4673753,0.007653269018661797,12880
1300944,8.276079,1.2413228,8.276079,1.2413228,0.05,3.8913393020629883,2.03,0.0,128.07,16.552158,0.17497841249918566,0.29849628,0.0,6.978903925402614,2.4826455,0.009860796249408915,13624
1401053,8.445491,1.091909,8.445491,1.091909,0.05,8.97683334350586,2.0,0.0,132.6,16.890982,0.18170939457952046,0.0,0.0,9.403190947758107,2.183818,0.015311422918413382,14430
1501163,9.989021,0.8903616,9.989021,0.8903616,0.05,2.7597641944885254,2.0,0.0,119.53,19.978043,0.16044312458019705,0.0,0.0,9.74418288005721,1.7807232,0.014016431533361183,15248
1601266,8.621178,1.6827388,8.621178,1.6827388,0.05,1.8301365375518799,2.0,0.0,115.88,17.242355,0.15789613504952285,0.0,0.0,4.8626741614054305,3.3654776,0.0071757983374156455,16074
1701369,6.4000006,1.0423999,6.4000006,1.0423999,0.05,8.248069763183594,7.03,0.0,142.97,12.800001,0.19918837669945788,2.6474705,0.0,21.260035277487194,2.0847998,0.03094559134771524,17041
1801411,9.34902,0.8252829,9.34902,0.8252829,0.05,5.241454601287842,2.04,0.0,82.36,18.69804,0.10441696957161184,0.397995,0.0,23.428836932293503,1.6505657,0.030380465436014376,18508
1901473,9.92,0.9708067,9.92,0.9708067,0.05,7.192420959472656,2.41,0.0,83.26,19.84,0.10892912501818501,1.5039614,0.0,32.923128648413716,1.9416134,0.04575867745524964,19588
2001499,9.47451,0.9114252,9.47451,0.9114252,0.05,3.8324391841888428,4.09,0.0,106.15,18.94902,0.14319104794529267,3.0499017,0.0,42.57684229719249,1.8228503,0.06252085162618787,20756
2101513,10.05804,0.9409882,10.05804,0.9409882,0.05,3.784918785095215,3.29,0.0,109.22,20.11608,0.14046692338015418,1.7395114,0.0,38.69847025400358,1.8819764,0.051492563594330035,22149
2201535,10.089413,0.80685407,10.089413,0.80685407,0.05,2.2536044120788574,3.09,0.0,104.74,20.178825,0.13247243081917986,1.9600766,0.0,46.23821363331417,1.6137081,0.06074817530157663,23009
2301642,10.644773,1.2650323,10.644773,1.2650323,0.05,1.364565372467041,5.06,0.01,114.59,21.289545,0.15221963876858355,2.9489658,0.09949874371066199,48.67835145113277,2.5300646,0.06795454278380338,23930
2401668,11.981487,2.6978424,11.981487,2.6978424,0.05,2.1361958980560303,2.83,0.08,82.89,23.962975,0.10348699625756126,1.6374065,0.2712931993250107,44.81426000727893,5.3956847,0.05746319347145358,25223
2501695,16.061071,4.3397684,16.061071,4.3397684,0.05,3.003263235092163,4.08,0.52,32.12,32.122143,0.040947124199010435,1.9983994,0.49959983987187184,0.9724196624914573,8.679537,0.0011692961368046848,27985
2601709,16.029322,4.568624,16.029322,4.568624,0.05,2.7949507236480713,4.16,0.54,38.45,32.058643,0.04852063537284266,1.9935896,0.49839743177508444,18.43169823971736,9.137248,0.02363273813771905,30901
2701743,11.177308,1.7415074,11.177308,1.7415074,0.05,1.8500131368637085,2.08,0.02,34.92,22.354616,0.045155890427995476,0.56,0.13999999999999999,0.4621688003316537,3.4830148,0.0008414565269716421,33082
2801753,16.019938,4.8090935,16.019938,4.8090935,0.05,2.4331753253936768,4.24,0.56,32.34,32.039875,0.04035756789613515,1.9855478,0.4963869458396343,1.0219589032832972,9.618187,0.0011480792026823303,36038
2901778,16.216148,4.9078655,16.216148,4.9078655,0.05,1.9462885856628418,4.43,0.58,35.84,32.432297,0.04502342036110349,1.9455334,0.4935585071701227,20.169640552077276,9.815731,0.02569243820189857,39066
3001794,16.374266,4.711801,16.374266,4.711801,0.05,2.615248441696167,4.36,0.59,32.16,32.74853,0.0412684233073378,1.9673333,0.4918333050943175,1.0365326815879952,9.423602,0.0013339151583418246,41885
3101807,16.939413,4.3924794,16.939413,4.3924794,0.05,2.037447929382324,4.56,0.64,33.66,33.878826,0.04374400786880869,1.9200001,0.48,10.12247005429011,8.784959,0.013451387097151567,44845
3201835,16.792978,4.4058986,16.792978,4.4058986,0.05,1.1760636568069458,4.48,0.62,32.31,33.585957,0.04026564204425085,1.9415457,0.4853864439804639,1.0458967444255673,8.811797,0.001175706604325342,47852
3301851,15.942682,4.8095484,15.942682,4.8095484,0.05,1.391613483428955,4.2,0.55,33.27,31.885365,0.041760514971101656,1.989975,0.49749371855331,7.357791788301705,9.619097,0.009574779685781298,50815
3401862,16.309328,4.5375714,16.309328,4.5375714,0.05,1.3501759767532349,4.28,0.57,32.23,32.618656,0.04031108748808038,1.980303,0.4950757517794625,0.9471536306217698,9.075143,0.001024894976557169,53864
3501872,16.185307,4.8115745,16.185307,4.8115745,0.05,1.1916643381118774,4.32,0.58,32.8,32.370613,0.042466176659218036,1.974234,0.49355850717012273,5.362835071116768,9.623149,0.007688789477985067,56932
3601887,17.079802,4.409896,17.079802,4.409896,0.05,0.7854574918746948,4.64,0.66,32.55,34.159603,0.042205410872702485,1.8948352,0.4737087712930805,4.179413834498805,8.819792,0.0056480426611480155,60009
3701894,17.236164,4.15001,17.236164,4.15001,0.05,1.072765588760376,4.64,0.66,32.16,34.47233,0.04031750332564116,1.8948352,0.4737087712930805,1.585685971433184,8.30002,0.0019994245206621133,63080
3801908,17.428694,4.164563,17.428694,4.164563,0.05,0.9207158088684082,4.76,0.69,31.98,34.857388,0.040154368400690144,1.849973,0.46249324319388707,0.9053176238205022,8.329126,0.0009647310100975903,66165
3901922,16.501245,4.5868587,16.501245,4.5868587,0.05,0.74620121717453,4.4,0.6,32.16,33.00249,0.04124004999699537,1.9595919,0.4898979485566356,0.9871170143402452,9.1737175,0.0012334414450581093,69257
